9, 11, 7, Scary Monster
0, 0, 223203180, 3
1, 0, 022143249, 1
2, 0, 022143249, 1
3, 0, 022143249, 1
4, 0, 022143249, 1
5, 0, 022143249, 1
6, 0, 022143249, 1
7, 0, 022143249, 1
8, 0, 223203180, 3
0, 1, 223203180, 3
1, 1, 223203180, 3
2, 1, 088199045, 4
3, 1, 088199045, 4
4, 1, 088199045, 4
5, 1, 088199045, 4
6, 1, 088199045, 4
7, 1, 223203180, 3
8, 1, 223203180, 3
0, 2, 022143249, 1
1, 2, 117152105, 2
2, 2, 088199045, 4
3, 2, 088199045, 4
4, 2, 088199045, 4
5, 2, 088199045, 4
6, 2, 088199045, 4
7, 2, 088199045, 4
8, 2, 022143249, 1
0, 3, 022143249, 1
1, 3, 117152105, 2
2, 3, 088199045, 4
3, 3, 247248254, 5
4, 3, 247248254, 5
5, 3, 247248254, 5
6, 3, 088199045, 4
7, 3, 088199045, 4
8, 3, 022143249, 1
0, 4, 022143249, 1
1, 4, 117152105, 2
2, 4, 088199045, 4
3, 4, 247248254, 5
4, 4, 000000000, 6
5, 4, 247248254, 5
6, 4, 088199045, 4
7, 4, 088199045, 4
8, 4, 022143249, 1
0, 5, 022143249, 1
1, 5, 117152105, 2
2, 5, 088199045, 4
3, 5, 247248254, 5
4, 5, 247248254, 5
5, 5, 247248254, 5
6, 5, 088199045, 4
7, 5, 088199045, 4
8, 5, 022143249, 1
0, 6, 022143249, 1
1, 6, 117152105, 2
2, 6, 088199045, 4
3, 6, 088199045, 4
4, 6, 088199045, 4
5, 6, 088199045, 4
6, 6, 088199045, 4
7, 6, 088199045, 4
8, 6, 022143249, 1
0, 7, 022143249, 1
1, 7, 117152105, 2
2, 7, 088199045, 4
3, 7, 000000000, 6
4, 7, 000000000, 6
5, 7, 000000000, 6
6, 7, 088199045, 4
7, 7, 088199045, 4
8, 7, 022143249, 1
0, 8, 022143249, 1
1, 8, 117152105, 2
2, 8, 088199045, 4
3, 8, 088199045, 4
4, 8, 239023131, 7
5, 8, 088199045, 4
6, 8, 088199045, 4
7, 8, 088199045, 4
8, 8, 022143249, 1
0, 9, 022143249, 1
1, 9, 117152105, 2
2, 9, 088199045, 4
3, 9, 088199045, 4
4, 9, 088199045, 4
5, 9, 088199045, 4
6, 9, 088199045, 4
7, 9, 088199045, 4
8, 9, 022143249, 1
0, 10, 022143249, 1
1, 10, 022143249, 1
2, 10, 117152105, 2
3, 10, 088199045, 4
4, 10, 088199045, 4
5, 10, 088199045, 4
6, 10, 088199045, 4
7, 10, 022143249, 1
8, 10, 022143249, 1
