9, 10, 4, Halloween Pumpkin
0, 0, 025234018, 1
1, 0, 025234018, 1
2, 0, 025234018, 1
3, 0, 025234018, 1
4, 0, 025234018, 1
5, 0, 025234018, 1
6, 0, 025234018, 1
7, 0, 025234018, 1
8, 0, 025234018, 1
0, 1, 025234018, 1
1, 1, 025234018, 1
2, 1, 025234018, 1
3, 1, 000000000, 4
4, 1, 000000000, 4
5, 1, 025234018, 1
6, 1, 025234018, 1
7, 1, 025234018, 1
8, 1, 025234018, 1
0, 2, 025234018, 1
1, 2, 025234018, 1
2, 2, 025234018, 1
3, 2, 025234018, 1
4, 2, 000000000, 4
5, 2, 025234018, 1
6, 2, 025234018, 1
7, 2, 025234018, 1
8, 2, 025234018, 1
0, 3, 025234018, 1
1, 3, 025234018, 1
2, 3, 237120011, 3
3, 3, 237120011, 3
4, 3, 237120011, 3
5, 3, 237120011, 3
6, 3, 237120011, 3
7, 3, 025234018, 1
8, 3, 025234018, 1
0, 4, 025234018, 1
1, 4, 237120011, 3
2, 4, 237120011, 3
3, 4, 237120011, 3
4, 4, 237120011, 3
5, 4, 237120011, 3
6, 4, 237120011, 3
7, 4, 237120011, 3
8, 4, 025234018, 1
0, 5, 193098009, 2
1, 5, 237120011, 3
2, 5, 000000000, 4
3, 5, 237120011, 3
4, 5, 237120011, 3
5, 5, 237120011, 3
6, 5, 000000000, 4
7, 5, 237120011, 3
8, 5, 237120011, 3
0, 6, 193098009, 2
1, 6, 237120011, 3
2, 6, 237120011, 3
3, 6, 237120011, 3
4, 6, 237120011, 3
5, 6, 237120011, 3
6, 6, 237120011, 3
7, 6, 237120011, 3
8, 6, 237120011, 3
0, 7, 193098009, 2
1, 7, 237120011, 3
2, 7, 000000000, 4
3, 7, 237120011, 3
4, 7, 237120011, 3
5, 7, 237120011, 3
6, 7, 000000000, 4
7, 7, 237120011, 3
8, 7, 237120011, 3
0, 8, 025234018, 1
1, 8, 193098009, 2
2, 8, 237120011, 3
3, 8, 000000000, 4
4, 8, 000000000, 4
5, 8, 000000000, 4
6, 8, 237120011, 3
7, 8, 237120011, 3
8, 8, 025234018, 1
0, 9, 025234018, 1
1, 9, 025234018, 1
2, 9, 193098009, 2
3, 9, 237120011, 3
4, 9, 237120011, 3
5, 9, 237120011, 3
6, 9, 237120011, 3
7, 9, 025234018, 1
8, 9, 025234018, 1
